id,Date Created,Date Completed,Last Modified,node,slot,ssu,rack,ru_low,ru_high
0,2/7/2022 7:03 AM,2/10/2022 1:21 PM,2/10/2022 1:21 PM,185,41,90,16,11,15
1,1/31/2022 6:32 AM,2/3/2022 9:03 AM,2/3/2022 9:03 AM,208,48,102,17,31,35
2,1/24/2022 6:49 AM,1/31/2022 8:52 AM,1/31/2022 8:52 AM,173,82,84,15,21,25
3,1/21/2022 6:55 AM,,2/9/2022 4:45 PM,143,64,69,13,26,30
4,1/20/2022 6:30 AM,1/24/2022 9:01 AM,1/24/2022 9:02 AM,159,57,77,14,26,30
5,1/20/2022 6:28 AM,1/24/2022 9:02 AM,1/24/2022 9:03 AM,212,5,104,18,1,5
6,1/19/2022 10:50 AM,1/20/2022 2:13 PM,1/20/2022 2:14 PM,104,21,50,7,11,15
7,1/14/2022 6:45 AM,1/20/2022 1:41 PM,1/28/2022 2:01 AM,30,40,13,2,26,30
8,1/12/2022 2:46 PM,1/19/2022 3:07 PM,2/1/2022 2:01 AM,187,73,91,16,16,20
9,1/4/2022 7:08 AM,2/10/2022 1:20 PM,2/10/2022 1:21 PM,172,78,84,15,21,25
11,12/22/2021 7:29 AM,1/19/2022 1:30 PM,2/1/2022 2:01 AM,163,30,79,14,36,40
12,12/20/2021 7:27 AM,1/19/2022 1:29 PM,2/1/2022 2:01 AM,44,35,20,3,21,25
15,12/9/2021 10:24 AM,12/14/2021 9:57 AM,12/14/2021 9:57 AM,207,38,101,17,26,30
16,12/6/2021 7:05 AM,12/9/2021 3:12 PM,12/22/2021 2:04 AM,205,21,100,17,21,25
17,12/6/2021 7:00 AM,12/10/2021 10:47 AM,12/23/2021 2:02 AM,95,43,45,6,26,30
18,12/1/2021 4:54 PM,1/20/2022 1:17 PM,1/20/2022 1:17 PM,194,32,95,16,36,40
23,11/9/2021 7:08 AM,11/12/2021 2:32 PM,11/12/2021 2:32 PM,85,36,40,6,1,5
26,11/4/2021 1:08 PM,11/12/2021 2:32 PM,11/25/2021 2:01 AM,58,38,27,4,16,20
27,11/4/2021 7:55 AM,11/12/2021 2:31 PM,11/12/2021 2:31 PM,59,38,27,4,16,20
28,10/29/2021 7:43 AM,11/12/2021 2:27 PM,11/12/2021 2:27 PM,151,59,73,14,6,10
29,10/29/2021 7:42 AM,11/10/2021 2:11 PM,11/10/2021 2:11 PM,236,32,116,19,21,25
31,10/22/2021 12:19 PM,11/12/2021 2:26 PM,11/12/2021 2:26 PM,207,83,101,17,26,30
32,10/14/2021 7:33 AM,11/12/2021 1:30 PM,11/12/2021 1:30 PM,29,59,12,2,21,25
33,10/14/2021 7:31 AM,11/12/2021 1:35 PM,11/12/2021 1:35 PM,105,65,50,7,11,15
34,9/27/2021 7:33 AM,10/15/2021 1:51 PM,10/15/2021 1:51 PM,151,7,73,14,6,10
35,9/27/2021 7:29 AM,10/15/2021 1:49 PM,10/15/2021 1:49 PM,0,8,-1,-1,-1,-1
36,9/27/2021 7:25 AM,10/15/2021 1:47 PM,10/15/2021 1:47 PM,168,72,82,15,11,15
37,9/16/2021 7:58 AM,10/15/2021 1:52 PM,10/28/2021 2:01 AM,108,76,52,7,21,25
38,9/15/2021 1:13 PM,,9/17/2021 4:46 PM,-1,-1,-1,-1,-1,-1
39,9/7/2021 7:10 AM,11/10/2021 2:43 PM,11/10/2021 2:43 PM,162,38,79,14,36,40
40,9/7/2021 7:08 AM,10/15/2021 1:55 PM,10/15/2021 1:55 PM,219,69,107,18,16,20
41,8/30/2021 7:10 AM,11/12/2021 2:24 PM,11/25/2021 2:01 AM,170,31,83,15,16,20
42,8/27/2021 4:14 PM,,8/30/2021 10:18 AM,-1,-1,-1,-1,-1,-1
43,8/27/2021 3:06 PM,10/15/2021 1:59 PM,10/15/2021 1:59 PM,-1,-1,-1,-1,-1,-1
45,8/13/2021 7:48 AM,8/31/2021 9:15 AM,9/10/2021 2:01 AM,231,37,113,19,6,10
47,8/2/2021 10:18 AM,8/31/2021 9:16 AM,8/31/2021 9:16 AM,62,27,29,4,26,30
48,7/29/2021 6:58 AM,8/31/2021 9:17 AM,8/31/2021 9:17 AM,175,31,85,15,26,30
50,7/19/2021 6:48 AM,7/23/2021 1:35 PM,7/23/2021 1:35 PM,156,5,76,14,21,25
51,7/14/2021 6:57 AM,7/20/2021 12:56 PM,7/20/2021 12:56 PM,18,13,7,1,36,40
52,7/14/2021 6:55 AM,7/20/2021 12:57 PM,7/20/2021 12:57 PM,8,15,2,1,11,15
54,7/13/2021 7:13 AM,7/20/2021 12:58 PM,7/20/2021 12:58 PM,76,79,36,5,21,25
56,6/21/2021 7:07 AM,7/20/2021 12:58 PM,7/20/2021 12:58 PM,182,0,89,16,6,10
58,6/16/2021 7:28 AM,8/2/2021 11:56 AM,8/2/2021 11:56 AM,140,13,68,13,21,25
59,6/14/2021 8:24 AM,8/2/2021 11:36 AM,8/2/2021 11:36 AM,169,78,82,15,11,15
60,6/8/2021 9:20 AM,8/2/2021 10:30 AM,8/2/2021 10:30 AM,170,8,83,15,16,20
61,6/2/2021 8:21 AM,7/21/2021 2:34 PM,7/21/2021 2:34 PM,20,82,8,2,1,5
62,6/1/2021 7:50 AM,6/21/2021 1:13 PM,6/21/2021 1:13 PM,87,73,41,6,6,10
63,6/1/2021 7:49 AM,6/21/2021 11:40 AM,6/21/2021 11:40 AM,116,24,56,8,1,5
64,6/1/2021 7:47 AM,7/21/2021 2:48 PM,7/21/2021 2:48 PM,70,70,33,5,6,10
65,6/1/2021 7:46 AM,7/20/2021 12:55 PM,7/20/2021 12:55 PM,212,29,104,18,1,5
75,4/29/2021 5:37 PM,5/11/2021 11:54 AM,5/18/2021 2:01 AM,89,21,42,6,11,15
77,4/26/2021 3:12 PM,,1/23/2022 5:53 PM,-1,-1,-1,-1,-1,-1
78,4/26/2021 7:05 AM,8/2/2021 11:13 AM,8/2/2021 11:13 AM,18,31,7,1,36,40
79,4/20/2021 7:17 AM,,5/5/2021 2:01 AM,-1,-1,-1,-1,-1,-1
80,4/19/2021 4:24 PM,4/28/2021 11:46 AM,5/5/2021 2:01 AM,24,2,10,2,11,15
83,4/1/2021 2:33 PM,4/7/2021 3:42 PM,4/28/2021 11:45 AM,206,36,101,17,26,30
84,4/1/2021 2:06 AM,,4/1/2021 6:40 AM,-1,-1,-1,-1,-1,-1
